	N=9	N=8	N=7	N=6	N=5	N=4	N=3	N=2	N=1
Thita0	0.5905986129482721	0.602200249387	0.622806730921	0.654685399073	0.70228692632	0.766200900877	0.828556332501	0.823012301916	0.830406883921
Thita1	0.8993888271246371	0.890701234867	0.82149257524	0.661059612866	0.346493919957	-0.212780793931	-1.03963061905	-1.6578704503	-1.70035076572
Thita2	-2.6610588768553765	-2.8150124188	-3.00802396941	-3.22548824037	-3.41171341482	-3.35924933601	-2.51033016916	-0.0404539259483	 
Thita3	-2.1335935200691956	-2.21067488963	-2.2323471115	-2.12365454444	-1.71011387232	-0.586040057635	2.01385152147	 	 
Thita4	-0.9505013926419921	-0.886685531512	-0.676277240359	-0.1951947188	0.820189563506	2.89375117683	 	 	 
Thita5	0.03751748350661637	0.245604947538	0.671227984695	1.47407627446	2.98010164846	 	 	 	 
Thita6	0.7141567896478112	1.05047390237	1.65517015987	2.7126650645	 	 	 	 	 
Thita7	1.131403899574162	1.57554754882	2.32275980677	 	 	 	 	 	 
Thita8	1.3623320500522875	1.89479149117	 	 	 	 	 	 	 
Thita9	1.4673636742315035	 	 	 	 	 	 	 	 
