	N=9	N=8	N=7	N=6	N=5	N=4	N=3	N=2	N=1
Thita0	0.3437499999999636	0.3375	0.3625	0.3875	0.41875	0.425	0.425	0.4375	0.6625
Thita1	1.722916666666558	1.89444444444	1.74166666667	1.54305555556	1.16527777778	1.15347222222	1.19027777778	1.16388888889	-1.22361111111
Thita2	-1.3364969135802036	-1.62361111111	-1.8575617284	-1.83703703704	-1.85115740741	-1.73719135802	-1.77932098765	-2.90601851852	 
Thita3	-3.412268518518581	-3.95737311385	-3.94351851852	-3.39807956104	-2.65161179698	-2.34589334705	-2.52203360768	 	 
Thita4	-3.7711410227102684	-4.11141403749	-3.54451493675	-2.34111225423	-0.707598879744	-0.194017680232	 	 	 
Thita5	-2.7195412919776305	-2.41775474606	-1.08305009399	0.804760664872	3.32367123067	 	 	 	 
Thita6	-0.7078340892968897	0.566989632904	2.79907221592	5.34428003297	 	 	 	 	 
Thita7	1.8810328388599842	4.34983219105	7.54406687039	 	 	 	 	 	 
Thita8	4.764068504631074	8.55602023816	 	 	 	 	 	 	 
Thita9	7.745561048802456	 	 	 	 	 	 	 	 
